Fecha,Título,Etiquetas,Enlace
2018-12-01,FONDO DE TIERRAS Y AGUAS INDÍGENAS: ¿RESUELVE REALMENTE EL PROBLEMA?,Indígena,https://lyd.org/wp-content/uploads/2018/12/tp-1382-ftai.pdf
2019-01-01,PYMES EVALUAN POSITIVAMENTE MODERNIZACIÓN TRIBUTARIA,"Modernización tributaria, Pymes, Reforma Tributaria",https://lyd.org/wp-content/uploads/2019/01/tp-1383-encuesta-pymes-.pdf
2019-01-01,¿MALESTAR EN CHILE? QUÉ DICEN LAS PRINCIPALES ENCUESTAS,Bienestar,https://lyd.org/wp-content/uploads/2019/01/tp-1383-malestar-en-chile.pdf
2019-01-01,ENCUESTA CASEN 2017: RADIOGRAFÍA A LA INMIGRACIÓN EN CHILE,"CASEN 2017, inmigración",https://lyd.org/wp-content/uploads/2019/01/tp-1384-inmigracion-casen-2017.pdf
2019-01-01,"EMPLEO PÚBLICO, UNA PROPUESTA TRANSVERSAL PARA SU REFORMA","Empleo Público, Modernización del Estado",https://lyd.org/wp-content/uploads/2019/01/tp-1385-empleo-publico-mesa-modernizacion-.pdf
2019-01-01,EVOLUCIÓN RECIENTE DEL MERCADO LABORAL,"Empleo, mercado laboral",https://lyd.org/wp-content/uploads/2019/01/tp-1385-evolucion-empleo-.pdf
2019-01-01,MÉRITO Y OTROS CRITERIOS PARA LA ADMISIÓN ESCOLAR: UN DEBATE VIGENTE,"Admisión Justa, Educación Escolar",https://lyd.org/wp-content/uploads/2019/01/tp-1386-nuevos-criterios-admision-escolar.pdf
2019-01-01,REFORMA A LAS ISAPRES: SOLUCIONES ACOTADAS A PROBLEMAS URGENTES,"Isapres, Reforma a las Isapres, Salud",https://lyd.org/wp-content/uploads/2019/01/tp-1386-reforma-isapres.pdf
2019-01-01,¿SON VÁLIDAS LAS CONDICIONES QUE SE HAN PLANTEADO PARA LEGISLAR SOBRE EL PROYECTO DE MODERNIZACIÓN TRIBUTARIA?,"Modernización tributaria, Reforma Tributaria",https://lyd.org/wp-content/uploads/2019/01/tp-1387-reforma-tributaria-.pdf
2019-01-01,“LEY CORTA DE PESCA”: UN PROYECTO DE LEY QUE DESPIERTA INQUIETUDES,Ley Corta de Pesca,https://lyd.org/wp-content/uploads/2019/01/tp1384-ley-corta-de-pesca-.pdf
