Fecha,Título,Autor,Medio de comunicación,Enlace
30 septiembre 2024,El Gobierno y el caso Cubillos: el arte de pasarse de listos,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/09/el-gobierno-y-el-caso-cubillos-el-arte-de-pasarse-de-listos/
30 septiembre 2024,El Gobierno y el caso Cubillos: el arte de pasarse de listos,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/09/el-gobierno-y-el-caso-cubillos-el-arte-de-pasarse-de-listos/
30 septiembre 2024,GATOS POR LIEBRES… PERO ¡AUTOCONTENIDOS Y AUTOFINANCIADOS!,Macarena García,La Tercera,https://lyd.org/opinion/2024/09/gatos-por-liebres-pero-autocontenidos-y-autofinanciados/
28 septiembre 2024,Crisis Judicial a la deriva,Luis Larraín,La Tercera,https://lyd.org/opinion/2024/09/crisis-judicial-a-la-deriva/
27 septiembre 2024,TVN: ¿Las herramientas correctas?,Simon Pinto,La Tercera,https://lyd.org/opinion/2024/09/tvn-las-herramientas-correctas/
23 septiembre 2024,"La peligrosa senda de la reforma judicial de AMLO: venganza, irresponsabilidad y populismo",Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/09/la-peligrosa-senda-de-la-reforma-judicial-de-amlo-venganza-irresponsabilidad-y-populismo/
22 septiembre 2024,Estrés fiscal: ya sabemos cómo termina la rana,Bettina Horst,El Mercurio,https://lyd.org/opinion/2024/09/estres-fiscal-ya-sabemos-como-termina-la-rana/
20 septiembre 2024,La hipocresía,Lucía Santa Cruz,El Mercurio,https://lyd.org/opinion/2024/09/la-hipocresia/
16 septiembre 2024,Informe del PNUD: ni héroes ni villanos,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/09/informe-del-pnud-ni-heroes-ni-villanos/
16 septiembre 2024,PODER JUDICIAL: CRISIS Y OPORTUNISMO,Pilar Hazbun,La Tercera,https://lyd.org/opinion/2024/09/poder-judicial-crisis-y-oportunismo/
14 septiembre 2024,100 MIL MILLONES DE DÓLARES,Tomás Flores,Diario Financiero,https://lyd.org/opinion/2024/09/100-mil-millones-de-dolares/
14 septiembre 2024,¿Lucha en el barro?,Luis Larraín,La Tercera,https://lyd.org/opinion/2024/09/lucha-en-el-barro/
13 septiembre 2024,Prioridades equivocadas,"María Paz Arzola, Pablo Eguiguren",El Mercurio,https://lyd.org/opinion/2024/09/prioridades-equivocadas/
12 septiembre 2024,Ministerio de Seguridad Pública: ¿vuelve la Convención Constitucional?,Juan Ignacio Gómez,La Tercera,https://lyd.org/opinion/2024/09/ministerio-de-seguridad-publica-vuelve-la-convencion-constitucional/
12 septiembre 2024,Ministerio de Seguridad Pública: ¿vuelve la Convención Constitucional?,Juan Ignacio Gómez,La Tercera,https://lyd.org/opinion/2024/09/ministerio-de-seguridad-publica-vuelve-la-convencion-constitucional/
10 septiembre 2024,APORTES DE DOS ECONOMISTAS CHILENOS,Luis Larraín,Diario Financiero,https://lyd.org/opinion/2024/09/aportes-de-dos-economistas-chilenos/
9 septiembre 2024,Boric y sus aliados: tensiones y contradicciones,Bettina Horst,Letras Libres,https://lyd.org/opinion/2024/09/boric-y-sus-aliados-tensiones-y-contradicciones/
9 septiembre 2024,"El Gobierno en el Caso Hermosilla: apuntar, detonar y avanzar",Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/09/el-gobierno-en-el-caso-hermosilla-apuntar-detonar-y-avanzar/
5 septiembre 2024,4 de septiembre: inspiración para la victoria,Luis Larraín,El Líbero,https://lyd.org/opinion/2024/09/4-de-septiembre-inspiracion-para-la-victoria/
5 septiembre 2024,Isapres: el lobo llegó,Pablo Eguiguren,La Tercera,https://lyd.org/opinion/2024/09/isapres-el-lobo-llego/
3 septiembre 2024,¿Vivirán mejor nuestros hijos?,Pablo Eguiguren,La Segunda,https://lyd.org/opinion/2024/09/viviran-mejor-nuestros-hijos/
2 septiembre 2024,A dos años del fracaso de la Convención,María Paz Arzola,La Tercera,https://lyd.org/opinion/2024/09/a-dos-anos-del-fracaso-de-la-convencion/
2 septiembre 2024,Cuba: el tabú de Gabriel Boric,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/09/cuba-el-tabu-de-gabriel-boric/
31 agosto 2024,"Audios, mensajes y la caja de Pandora",Luis Larraín,La Tercera,https://lyd.org/opinion/2024/08/audios-mensajes-y-la-caja-de-pandora/
27 agosto 2024,Condiciones para una agencia autónoma que evalúe la pega del Estado,Simon Pinto,Diario Financiero,https://lyd.org/opinion/2024/08/condiciones-para-una-agencia-autonoma-que-evalue-la-pega-del-estado/
27 agosto 2024,Economía no minera: atrapada en el crecimiento de 1%,Tomás Flores,Diario Financiero,https://lyd.org/opinion/2024/08/economia-no-minera-atrapada-en-el-crecimiento-de-1/
26 agosto 2024,El combate al narco es también una batalla cultural. Un mensaje a la derecha,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/08/el-combate-al-narco-es-tambien-una-batalla-cultural-un-mensaje-a-la-derecha/
26 agosto 2024,El combate al narco es también una batalla cultural. Un mensaje a la derecha,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/08/el-combate-al-narco-es-tambien-una-batalla-cultural-un-mensaje-a-la-derecha/
25 agosto 2024,Pensiones: no se trata de moverse un poquito,Bettina Horst,El Mercurio,https://lyd.org/opinion/2024/08/pensiones-no-se-trata-de-moverse-un-poquito/
23 agosto 2024,La compasión,Lucía Santa Cruz,El Mercurio,https://lyd.org/opinion/2024/08/la-compasion/
